sample,B2M,CD274,CTLA4,HLA-A,HLA-B,HLA-C,PDCD1,PDCD1LG2,TAP1,TAPBP,canType
TCGA-MG-AAMC-01A-11R-A41O-07,12.076,0.3624,0.2854,9.1179,9.5684,9.5088,0.2035,0.053,4.7089,6.3967,PRAD
TCGA-QU-A6IL-01A-11R-A31N-07,10.4774,0.404,0.5127,7.9646,8.7677,8.6301,0.3811,0.1307,4.0391,5.478,PRAD
TCGA-QU-A6IM-01A-11R-A31N-07,11.1127,1.1863,0.9373,9.1324,10.3355,9.8167,0.5555,0.2895,5.0378,6.1013,PRAD
TCGA-QU-A6IN-01A-11R-A31N-07,9.1089,0.2633,0.3742,7.0842,7.2744,7.0645,0.185,0.0092,3.0446,5.533,PRAD
TCGA-QU-A6IO-01A-11R-A31N-07,11.0514,0.3237,1.0949,8.7193,9.6001,8.9523,0.5256,0.2879,4.0275,6.0347,PRAD
TCGA-QU-A6IP-01A-11R-A31N-07,11.7867,0.3329,0.6147,8.7134,8.8403,8.6036,0.3911,0.3216,4.7348,5.9471,PRAD
TCGA-SU-A7E7-01A-22R-A33R-07,12.7156,1.1157,1.4709,9.6247,10.409,9.5877,1.158,0.6905,6.0527,6.938,PRAD
TCGA-TK-A8OK-01A-22R-A36G-07,11.8553,1.1513,0.391,8.5054,8.8823,8.7737,0.2648,1.0295,4.5558,5.81,PRAD
TCGA-TP-A8TT-01A-12R-A41O-07,14.8607,1.5763,1.7587,12.0168,12.2866,11.6836,1.566,1.1572,7.9153,7.6296,PRAD
TCGA-TP-A8TV-01A-11R-A41O-07,11.2396,0.5538,0.3275,5.9147,7.5333,7.5314,0.2028,0.1288,4.0702,5.4997,PRAD
TCGA-V1-A8MF-01A-11R-A36G-07,11.9276,0.5879,1.0645,8.2823,9.1843,8.8516,0.7272,0.4618,4.8702,5.9496,PRAD
TCGA-V1-A8MG-01A-11R-A36G-07,12.1931,0.8147,1.2051,8.6302,9.6353,9.315,1.1771,0.8853,5.4872,6.1297,PRAD
TCGA-V1-A8MJ-01A-11R-A36G-07,14.7571,2.2179,1.3268,11.9016,12.535,11.5107,1.1201,1.0152,8.1665,7.0612,PRAD
TCGA-V1-A8MK-01A-11R-A36G-07,13.0887,0.9906,0.448,9.0303,10.2065,9.6057,0.6981,0.4994,5.3567,6.1859,PRAD
TCGA-V1-A8ML-01A-11R-A37L-07,11.7047,0.8323,0.4446,8.2866,8.922,9.8147,0.5099,0.445,4.5156,5.6978,PRAD
TCGA-V1-A8MM-01A-11R-A37L-07,12.458,0.638,0.9037,8.9478,9.9773,9.4196,0.5625,0.304,5.8861,6.2248,PRAD
TCGA-V1-A8MU-01A-11R-A37L-07,12.8754,0.9435,0.9134,9.444,9.7993,9.6435,1.1891,0.7664,5.0766,6.1668,PRAD
TCGA-V1-A8WL-01A-11R-A37L-07,12.8624,0.8843,1.2998,9.3157,10.27,10.0391,0.8909,1.204,5.3114,5.1782,PRAD
TCGA-V1-A8WN-01A-11R-A37L-07,14.018,1.2042,0.9268,10.5414,10.9894,10.1974,0.6036,0.6802,6.4759,6.3519,PRAD
TCGA-V1-A8WS-01A-11R-A37L-07,10.5976,0.3718,0.2405,7.1484,7.8966,8.1099,0.5744,0.2681,3.844,5.3952,PRAD
TCGA-V1-A8WV-01A-11R-A37L-07,11.8523,0.6791,0.7458,8.6822,9.309,8.0636,0.979,0.5611,4.9149,6.9334,PRAD
TCGA-V1-A8WW-01A-11R-A37L-07,13.5235,0.7493,0.4945,10.2006,10.9664,10.0216,0.3403,0.3405,6.7034,7.0105,PRAD
TCGA-V1-A8X3-01A-11R-A37L-07,12.8669,0.8182,0.7477,8.8478,10.0491,10.1664,0.6188,0.5825,5.9809,6.1734,PRAD
TCGA-V1-A9O5-01A-11R-A41O-07,13.2466,1.0814,1.7331,9.3598,10.6995,10.3763,1.0803,0.9558,6.7207,7.0744,PRAD
TCGA-V1-A9O7-01A-21R-A41O-07,11.623,1.0851,1.1662,8.7754,9.1095,8.5815,0.9077,0.5866,4.8579,5.9166,PRAD
