sample,weakBinder,canType
TCGA-PL-A8LY-01,1516,BRCA
TCGA-BH-A1FE-01,1612,BRCA
TCGA-AR-A24O-01,1856,BRCA
TCGA-A2-A1G4-01,1971,BRCA
TCGA-E2-A1IH-01,1341,BRCA
TCGA-D8-A1Y1-01,1348,BRCA
TCGA-AO-A0J9-01,2759,BRCA
TCGA-E2-A1B4-01,4566,BRCA
TCGA-C8-A135-01,990,BRCA
TCGA-OL-A5RV-01,15802,BRCA
TCGA-A8-A09G-01,1978,BRCA
TCGA-BH-A0BZ-01,1260,BRCA
TCGA-A2-A0CQ-01,6569,BRCA
TCGA-A2-A0SY-01,1148,BRCA
TCGA-W8-A86G-01,22732,BRCA
TCGA-E2-A15J-01,5765,BRCA
TCGA-AR-A24S-01,2430,BRCA
TCGA-EW-A3E8-01,16136,BRCA
TCGA-E2-A1B1-01,1496,BRCA
TCGA-EW-A6SA-01,14503,BRCA
TCGA-A2-A0D2-01,3069,BRCA
TCGA-BH-A0BQ-01,592,BRCA
TCGA-BH-A0B7-01,590,BRCA
TCGA-E9-A1R6-01,5524,BRCA
TCGA-A7-A0CG-01,1131,BRCA
TCGA-D8-A1X9-01,1871,BRCA
TCGA-B6-A0RT-01,6930,BRCA
TCGA-D8-A27G-01,1781,BRCA
TCGA-A2-A4S2-01,12906,BRCA
TCGA-AN-A0FD-01,547,BRCA
TCGA-A2-A0YL-01,1102,BRCA
TCGA-5L-AAT0-01,4644,BRCA
TCGA-EW-A2FR-01,1222,BRCA
TCGA-BH-A6R8-01,2960,BRCA
